player_id,player_name,position,season,week,opponent_team,passing_yards,rushing_yards,receiving_yards,receptions
00-0000003,,RB,1999,1,DEN,0.0,60.0,7.0,1
00-0000007,,RB,1999,1,NYG,0.0,0.0,0.0,0
00-0000104,,QB,1999,1,WAS,355.0,4.0,0.0,0
00-0000145,,WR,1999,1,CHI,0.0,0.0,154.0,6
00-0000166,,TE,1999,1,DAL,0.0,0.0,5.0,1
00-0000232,,RB,1999,1,NYJ,0.0,54.0,-5.0,1
00-0000242,,TE,1999,1,KC,0.0,0.0,1.0,1
00-0000279,,RB,1999,1,CHI,0.0,37.0,14.0,2
00-0000316,,RB,1999,1,MIN,0.0,50.0,34.0,2
00-0000387,,WR,1999,1,NYG,0.0,0.0,10.0,2
00-0000541,,RB,1999,1,DEN,0.0,0.0,0.0,0
00-0000721,,RB,1999,1,SF,0.0,-2.0,0.0,0
00-0000745,,RB,1999,1,TB,0.0,0.0,0.0,0
00-0000765,,WR,1999,1,SF,0.0,0.0,41.0,2
00-0000865,,QB,1999,1,SEA,216.0,-3.0,0.0,0
00-0000871,,RB,1999,1,PHI,0.0,6.0,0.0,0
00-0000872,,WR,1999,1,NO,0.0,0.0,2.0,1
00-0000911,,TE,1999,1,NE,0.0,0.0,7.0,1
00-0001103,,RB,1999,1,KC,0.0,0.0,0.0,0
00-0001112,,RB,1999,1,TB,0.0,24.0,7.0,1
00-0001215,,RB,1999,1,CLE,0.0,89.0,2.0,1
00-0001218,,QB,1999,1,NO,207.0,8.0,0.0,0
00-0001224,,RB,1999,1,NO,0.0,45.0,5.0,1
00-0001281,,TE,1999,1,WAS,0.0,0.0,13.0,1
00-0001317,,WR,1999,1,CLE,0.0,0.0,18.0,2
00-0001335,,QB,1999,1,TEN,178.0,90.0,0.0,0
00-0001361,,QB,1999,1,NYJ,340.0,-1.0,0.0,0
00-0001532,,WR,1999,1,PHI,0.0,1.0,21.0,4
00-0001582,,WR,1999,1,DET,0.0,0.0,9.0,1
00-0001627,,WR,1999,1,LV,0.0,0.0,27.0,2
00-0001661,,TE,1999,1,SF,0.0,0.0,13.0,2
00-0001766,,TE,1999,1,GB,0.0,0.0,4.0,1
00-0001842,,WR,1999,1,KC,0.0,0.0,28.0,2
00-0001862,,TE,1999,1,ARI,0.0,0.0,29.0,3
00-0002058,,WR,1999,1,GB,0.0,0.0,51.0,4
00-0002068,,WR,1999,1,NYJ,0.0,0.0,33.0,2
00-0002102,,TE,1999,1,CLE,0.0,0.0,0.0,0
00-0002110,,QB,1999,1,SF,265.0,12.0,0.0,0
00-0002544,,WR,1999,1,MIN,0.0,0.0,84.0,5
00-0002701,,WR,1999,1,NO,0.0,0.0,63.0,5
00-0002721,,WR,1999,1,ATL,0.0,0.0,70.0,7
00-0002743,,RB,1999,1,TEN,0.0,15.0,11.0,1
00-0002861,,TE,1999,1,MIA,0.0,0.0,52.0,4
00-0002876,,QB,1999,1,MIN,258.0,21.0,0.0,0
00-0002958,,TE,1999,1,LV,0.0,0.0,44.0,4
00-0003142,,TE,1999,1,NYJ,0.0,0.0,51.0,3
00-0003378,,WR,1999,1,DAL,0.0,8.0,137.0,4
00-0003396,,WR,1999,1,KC,0.0,0.0,88.0,9
00-0003535,,QB,1999,1,PIT,0.0,0.0,0.0,0
00-0003557,,QB,1999,1,TEN,4.0,0.0,0.0,0
00-0003681,,TE,1999,1,TB,0.0,0.0,0.0,0
00-0003700,,WR,1999,1,SEA,0.0,0.0,141.0,7
00-0003715,,TE,1999,1,ATL,0.0,0.0,4.0,1
00-0003761,,QB,1999,1,ATL,184.0,8.0,0.0,0
00-0004052,,RB,1999,1,DAL,0.0,109.0,5.0,1
00-0004054,,RB,1999,1,MIA,0.0,61.0,8.0,1
00-0004060,,RB,1999,1,CAR,0.0,18.0,0.0,0
00-0004063,,TE,1999,1,LV,0.0,0.0,50.0,2
00-0004077,,WR,1999,1,DET,0.0,0.0,85.0,7
00-0004230,,QB,1999,1,PIT,52.0,-1.0,0.0,0
00-0004293,,QB,1999,1,NYG,174.0,4.0,0.0,0
00-0004294,,TE,1999,1,BUF,0.0,0.0,19.0,2
00-0004304,,RB,1999,1,TEN,0.0,66.0,7.0,1
00-0004386,,WR,1999,1,MIA,0.0,0.0,22.0,3
00-0004524,,TE,1999,1,DEN,0.0,0.0,21.0,2
00-0004574,,TE,1999,1,GB,0.0,0.0,0.0,0
00-0004640,,RB,1999,1,NYG,0.0,46.0,26.0,3
00-0004694,,WR,1999,1,CIN,0.0,0.0,162.0,9
00-0004705,,WR,1999,1,NE,0.0,0.0,0.0,0
00-0004780,,WR,1999,1,CLE,0.0,0.0,45.0,4
00-0004888,,WR,1999,1,NYG,0.0,0.0,53.0,3
00-0004915,,WR,1999,1,KC,0.0,9.0,53.0,6
00-0004916,,RB,1999,1,KC,0.0,64.0,69.0,5
00-0005060,,TE,1999,1,JAX,0.0,0.0,0.0,0
00-0005091,,RB,1999,1,NYJ,0.0,17.0,8.0,1
00-0005101,,TE,1999,1,DET,0.0,0.0,0.0,0
00-0005106,,QB,1999,1,LV,333.0,8.0,0.0,0
00-0005180,,QB,1999,1,SF,0.0,-2.0,0.0,0
00-0005231,,WR,1999,1,ARI,0.0,0.0,10.0,1
00-0005363,,QB,1999,1,IND,300.0,24.0,0.0,0
00-0005562,,WR,1999,1,LV,0.0,0.0,111.0,7
00-0005616,,WR,1999,1,DAL,0.0,0.0,34.0,3
00-0005741,,QB,1999,1,GB,227.0,6.0,0.0,0
00-0005755,,QB,1999,1,JAX,45.0,0.0,0.0,0
00-0005779,,RB,1999,1,JAX,0.0,61.0,14.0,1
00-0005883,,RB,1999,1,CIN,0.0,42.0,37.0,3
00-0006043,,WR,1999,1,NYJ,0.0,0.0,113.0,7
00-0006047,,TE,1999,1,ATL,0.0,0.0,37.0,3
00-0006100,,QB,1999,1,CLE,8.0,-3.0,0.0,0
00-0006212,,QB,1999,1,TB,91.0,1.0,0.0,0
00-0006299,,QB,1999,1,MIN,32.0,0.0,0.0,0
00-0006300,,QB,1999,1,CHI,283.0,0.0,0.0,0
00-0006322,,WR,1999,1,BUF,0.0,0.0,124.0,5
00-0006324,,TE,1999,1,NE,0.0,0.0,3.0,1
00-0006331,,WR,1999,1,NYG,0.0,15.0,27.0,3
00-0006359,,WR,1999,1,DEN,0.0,0.0,6.0,1
00-0006423,,QB,1999,1,MIA,270.0,4.0,0.0,0
00-0006456,,RB,1999,1,MIA,0.0,0.0,21.0,2
00-0006803,,RB,1999,1,MIN,0.0,9.0,0.0,0
00-0006804,,TE,1999,1,NYG,0.0,0.0,0.0,0
00-0006848,,TE,1999,1,PHI,0.0,0.0,49.0,5
00-0006977,,WR,1999,1,JAX,0.0,0.0,4.0,1
00-0006994,,WR,1999,1,MIN,0.0,0.0,63.0,3
00-0007024,,WR,1999,1,BUF,0.0,0.0,121.0,8
00-0007093,,WR,1999,1,CAR,0.0,0.0,12.0,1
00-0007120,,WR,1999,1,CLE,0.0,0.0,27.0,3
00-0007144,,WR,1999,1,NO,0.0,0.0,0.0,0
00-0007389,,RB,1999,1,DAL,0.0,4.0,0.0,0
00-0007436,,RB,1999,1,SEA,0.0,24.0,0.0,0
00-0007468,,WR,1999,1,TB,0.0,0.0,18.0,2
00-0007520,,RB,1999,1,ATL,0.0,50.0,24.0,2
00-0007530,,QB,1999,1,CAR,127.0,7.0,0.0,0
00-0007744,,WR,1999,1,CHI,0.0,0.0,10.0,1
00-0007969,,RB,1999,1,CLE,0.0,45.0,67.0,5
00-0008044,,WR,1999,1,WAS,0.0,0.0,122.0,5
00-0008046,,RB,1999,1,SEA,0.0,0.0,0.0,1
00-0008060,,WR,1999,1,WAS,0.0,15.0,142.0,7
00-0008196,,RB,1999,1,JAX,0.0,0.0,3.0,1
00-0008210,,WR,1999,1,TEN,0.0,0.0,60.0,5
00-0008241,,RB,1999,1,BUF,0.0,72.0,14.0,4
00-0008300,,WR,1999,1,NO,0.0,0.0,0.0,0
00-0008313,,WR,1999,1,NYJ,0.0,0.0,67.0,4
00-0008329,,WR,1999,1,ARI,0.0,0.0,9.0,2
00-0008346,,TE,1999,1,DAL,0.0,0.0,0.0,0
00-0008400,,WR,1999,1,GB,0.0,0.0,88.0,3
00-0008442,,QB,1999,1,DAL,382.0,0.0,0.0,0
00-0008454,,WR,1999,1,ARI,0.0,0.0,24.0,3
00-0008529,,RB,1999,1,DEN,0.0,45.0,0.0,0
00-0008560,,WR,1999,1,PIT,0.0,0.0,13.0,2
00-0008561,,WR,1999,1,NE,0.0,0.0,194.0,8
00-0008568,,RB,1999,1,NE,0.0,2.0,0.0,0
00-0008572,,TE,1999,1,CHI,0.0,0.0,41.0,3
00-0008660,,RB,1999,1,WAS,0.0,0.0,4.0,1
00-0008723,,TE,1999,1,SF,0.0,0.0,4.0,1
00-0008921,,RB,1999,1,GB,0.0,3.0,49.0,3
00-0008962,,WR,1999,1,TB,0.0,0.0,4.0,1
00-0009038,,RB,1999,1,GB,0.0,87.0,6.0,1
00-0009163,,WR,1999,1,CAR,0.0,0.0,6.0,1
00-0009288,,RB,1999,1,PIT,0.0,10.0,2.0,1
00-0009311,,QB,1999,1,DET,199.0,7.0,0.0,0
00-0009443,,TE,1999,1,MIN,0.0,0.0,2.0,1
00-0009550,,TE,1999,1,WAS,0.0,0.0,41.0,4
00-0009599,,RB,1999,1,NO,0.0,30.0,36.0,2
00-0009829,,RB,1999,1,LV,0.0,78.0,46.0,6
00-0010007,,WR,1999,1,CHI,0.0,0.0,8.0,1
